,book_format,book_pages,book_review_count,book_rating_count,book_rating
4637,Hardcover,320 pages,514,3453,3.4
4638,Hardcover,44 pages,194,1151,4.09
4639,ebook,99 pages,82,1213,4.12
4640,Paperback,317 pages,303,3701,4.04
4641,Kindle Edition,60 pages,14,91,3.09
4642,Paperback,528 pages,132,2901,4.04
4643,Hardcover,352 pages,8981,92310,4.12
4644,Paperback,94 pages,320,1635,3.48
4645,Paperback,480 pages,839,20414,4.24
4647,Paperback,400 pages,241,2861,4.09
4648,Kindle Edition,288 pages,502,7695,4.29
4649,Paperback,512 pages,64,5272,4.19
4650,Hardcover,563 pages,7,566,3.87
4651,Hardcover,661 pages,2135,49582,4.08
4654,Hardcover,448 pages,13346,134871,3.82
4655,Paperback,300 pages,1138,20749,4.0
4656,Hardcover,320 pages,77,564,3.7
4657,Paperback,391 pages,34,390,4.31
4658,Hardcover,208 pages,61,1018,4.3
4660,Paperback,432 pages,1806,20405,3.42
4661,Paperback,320 pages,39,1060,3.89
4662,Paperback,259 pages,216,1214,3.72
4664,Hardcover,457 pages,21,233,4.24
4665,Kindle Edition,65 pages,14,95,4.4
4666,Paperback,324 pages,787,14820,4.07
4668,Hardcover,950 pages,344,15440,4.1
4669,Hardcover,307 pages,30,214,3.77
4670,Hardcover,511 pages,12333,58548,4.06
4671,Paperback,289 pages,1468,11174,3.76
4672,Paperback,87 pages,4,13,4.23
4673,Paperback,208 pages,420,3197,3.79
4674,Hardcover,325 pages,723,9887,3.93
4676,Hardcover,167 pages,172,1629,3.77
4677,ebook,832 pages,21,699,4.26
4678,Hardcover,47 pages,73,2114,3.43
4680,Hardcover,227 pages,210,2850,3.9
4681,Paperback,360 pages,37,439,4.16
4682,Paperback,1056 pages,25,261,4.39
4683,Kindle Edition,649 pages,18,29,4.17
4684,Paperback,328 pages,17,52,4.19
4685,Paperback,642 pages,1066,17441,3.74
4686,Paperback,293 pages,85,726,4.08
4687,Hardcover,368 pages,46,333,3.63
4691,Hardcover,192 pages,49,443,4.35
4692,Paperback,247 pages,23,171,3.78
4693,Hardcover,341 pages,2448,29145,3.63
4695,Paperback,160 pages,39,1036,3.73
4696,Hardcover,1009 pages,16,124,4.48
4697,Paperback,180 pages,248,2207,3.71
4698,Paperback,131 pages,26,490,3.62
4699,Hardcover,40 pages,215,7247,4.15
4700,Kindle Edition,382 pages,189,6305,4.34
4701,Mass Market Paperback,344 pages,657,4802,3.75
4702,Paperback,192 pages,43,5241,4.23
4703,Paperback,144 pages,10,830,3.75
4704,Paperback,320 pages,41428,390373,3.99
4705,Paperback,832 pages,48,819,4.23
4706,Hardcover,288 pages,227,2860,4.28
4707,Paperback,459 pages,440,10923,4.02
4709,Mass Market Paperback,394 pages,78,1249,4.16
4710,Paperback,368 pages,46,591,3.82
4711,Hardcover,282 pages,284,4982,3.87
4712,Paperback,317 pages,1875,10319,3.93
4713,Paperback,400 pages,10,77,3.96
4714,Kindle Edition,786 pages,204,1057,4.41
4715,Paperback,307 pages,79508,3747826,4.27
4716,Paperback,425 pages,1718,43584,4.02
4718,Paperback,219 pages,47,221,4.18
4719,Hardcover,208 pages,2705,50114,3.19
4720,Kindle Edition,280 pages,286,6010,4.32
4721,Hardcover,326 pages,2085,22883,4.38
4722,Paperback,48 pages,235,2273,4.22
4723,Kindle Edition,126 pages,24,147,3.9
4724,Hardcover,362 pages,658,6571,3.78
4725,Kindle Edition,68 pages,330,5845,3.32
4726,Kindle Edition,340 pages,412,2875,4.25
4727,ebook,263 pages,60,1002,4.43
4728,Hardcover,372 pages,2316,22033,4.0
4729,Paperback,81 pages,25,480,4.36
4730,Mass Market,393 pages,76,1436,3.95
4731,Paperback,416 pages,122,1695,3.96
4732,Paperback,384 pages,24,278,3.82
4733,Paperback,512 pages,91,1101,4.19
4734,Paperback,205 pages,754,5323,3.99
4735,Kindle Edition,284 pages,43,435,3.61
4736,Paperback,187 pages,127,3373,3.9
4737,Hardcover,752 pages,704,6315,3.99
4739,Paperback,464 pages,555,58084,3.78
4740,Paperback,112 pages,344,4222,4.39
4741,Paperback,160 pages,17,43,4.0
4742,Hardcover,378 pages,361,5543,4.29
4743,ebook,220 pages,513,3399,4.09
4744,Kindle Edition,368 pages,181,1015,3.87
4745,Nook,0 pages,56,860,4.2
4746,Paperback,412 pages,83,314,3.69
4747,Hardcover,352 pages,285,1696,3.6
4748,Paperback,208 pages,2129,22625,4.0
4749,Paperback,336 pages,10,165,3.64
4750,Hardcover,208 pages,63,1145,4.23
4751,Hardcover,434 pages,452,4485,4.0
4752,Kindle Edition,352 pages,666,5988,3.82
4753,Mass Market Paperback,395 pages,2147,94569,3.82
4754,Hardcover,245 pages,47,360,4.34
4755,Paperback,368 pages,30,189,3.76
4756,Paperback,140 pages,57,2108,3.79
4757,Paperback,357 pages,2605,23798,4.13
4758,Paperback,294 pages,30,302,3.72
4760,Hardcover,456 pages,357,4892,4.43
4761,Hardcover,808 pages,26,162,4.31
4762,Mass Market Paperback,210 pages,8,92,3.33
4763,Paperback,250 pages,1,13,3.92
4764,Paperback,533 pages,41,760,4.27
4765,Hardcover,321 pages,27,344,4.06
4766,Paperback,160 pages,199,2147,4.19
4767,Paperback,372 pages,179,10676,4.0
4768,Paperback,365 pages,259,3126,3.89
4770,Hardcover,344 pages,26,258,4.07
4771,Hardcover,243 pages,17,288,4.33
4772,Paperback,196 pages,421,8599,3.77
4773,Paperback,285 pages,73,147,4.39
4774,Paperback,186 pages,27,543,3.75
4775,Paperback,208 pages,9,760,4.51
4776,Hardcover,530 pages,557,4042,3.54
4777,Audiobook,21 pages,2890,31460,4.24
4779,Paperback,218 pages,35,808,4.02
4780,Paperback,324 pages,169,2292,3.46
4781,Kindle Edition,436 pages,10,14,4.21
4782,Paperback,256 pages,8,120,4.11
4785,Paperback,112 pages,1025,7376,4.0
4786,Paperback,256 pages,136,1093,3.41
4787,Hardcover,324 pages,1543,8949,3.87
4788,Hardcover,384 pages,187,935,4.13
4790,Kindle Edition,101 pages,129,1028,3.57
4791,Paperback,136 pages,96,1680,4.11
4792,Hardcover,0 pages,106,1177,3.6
4793,Paperback,158 pages,14,64,3.47
4794,Paperback,176 pages,141,2355,4.15
4795,Hardcover,64 pages,22,172,4.1
4797,Paperback,76 pages,322,6646,4.36
4798,Paperback,419 pages,5022,136403,4.18
4799,Kindle Edition,512 pages,6773,49549,3.7
4800,ebook,278 pages,188,2354,3.83
4801,Hardcover,32 pages,8,22,4.09
4802,Paperback,320 pages,241,4516,4.35
4803,Paperback,308 pages,574,4183,4.05
4804,Paperback,371 pages,41,590,3.75
4805,Paperback,381 pages,51,233,3.82
4806,Paperback,336 pages,201,2655,4.25
4807,Kindle Edition,122 pages,38,121,4.59
4808,Paperback,519 pages,29794,396423,3.85
4809,Paperback,528 pages,85,619,4.31
4810,Hardcover,32 pages,4,139,3.89
4811,Kindle Edition,321 pages,142,692,3.57
4812,Paperback,209 pages,889,7309,4.03
4813,Paperback,341 pages,99,479,3.61
4814,Paperback,160 pages,20,135,4.28
4815,Kindle Edition,389 pages,1567,140017,4.27
4816,Paperback,384 pages,10,73,4.16
4817,Kindle Edition,82 pages,58,398,3.8
4818,Hardcover,176 pages,74,3360,3.89
4819,Paperback,696 pages,146,2697,4.17
4820,Paperback,360 pages,40,1047,4.14
4821,Paperback,416 pages,37,3861,3.88
4822,Hardcover,267 pages,6675,102491,4.21
4823,Paperback,370 pages,651,3872,3.83
4824,Paperback,1345 pages,10,151,4.54
4825,Paperback,128 pages,12,124,3.71
4826,Paperback,176 pages,5,51,4.47
4827,Paperback,336 pages,252,22454,3.87
4828,Hardcover,384 pages,322,8849,4.21
4829,Paperback,544 pages,69,1178,4.29
4830,Paperback,448 pages,92,1179,3.85
4831,Paperback,72 pages,30,264,4.07
4832,Kindle Edition,464 pages,8,92,4.07
4833,Kindle Edition,864 pages,167,3351,4.64
4834,Paperback,231 pages,13,160,3.71
4835,Paperback,320 pages,856,12760,3.69
4836,Paperback,272 pages,73,786,3.5
4837,Hardcover,384 pages,393,3301,3.59
4838,ebook,107 pages,210,3759,3.71
4839,Hardcover,166 pages,179,8151,4.06
4840,Hardcover,640 pages,256,2586,3.71
4841,ebook,172 pages,56,221,4.12
4842,Mass Market Paperback,221 pages,641,8159,3.75
4843,Paperback,259 pages,94,1798,3.51
4844,Paperback,208 pages,76,500,4.05
4845,Mass Market Paperback,251 pages,689,9153,3.78
4846,Hardcover,202 pages,37,170,4.84
4847,Paperback,574 pages,165,2669,3.69
4848,Kindle Edition,260 pages,19,122,4.04
4849,Hardcover,384 pages,870,7110,3.97
4850,Paperback,304 pages,4068,33046,3.97
4851,Paperback,672 pages,27,283,4.37
4852,Paperback,489 pages,41,595,4.33
4853,Paperback,251 pages,316,6416,3.98
4854,Paperback,432 pages,67,360,4.1
4855,ebook,416 pages,422,2343,4.24
4856,Paperback,468 pages,475,4875,3.82
4857,Hardcover,645 pages,629,12347,4.1
4860,ebook,150 pages,144,984,3.65
4861,Paperback,81 pages,919,12050,3.87
4862,Audio CD,0 pages,253,1029,3.64
4863,Paperback,288 pages,6,95,4.18
4865,Kindle Edition,515 pages,420,5583,3.77
4866,Kindle Edition,260 pages,949,10937,3.72
4867,Hardcover,307 pages,683,5585,4.05
4868,Paperback,416 pages,104,1536,4.23
4869,Paperback,232 pages,5445,75238,4.17
4870,Paperback,344 pages,14,170,4.18
4871,Paperback,174 pages,7594,259122,3.99
4872,Paperback,119 pages,17632,556484,3.97
4873,Paperback,369 pages,92,988,3.94
4874,Paperback,192 pages,30,533,4.09
4875,Paperback,480 pages,242,1454,3.44
4876,Paperback,167 pages,52,589,3.7
4878,Paperback,414 pages,46,621,3.91
4879,Paperback,480 pages,2,138,4.09
4880,Paperback,288 pages,25,386,3.76
4881,Paperback,252 pages,1,3,4.33
4882,Hardcover,298 pages,11,89,4.18
4883,Hardcover,352 pages,1657,10452,3.88
4884,Kindle Edition,416 pages,232,3129,4.1
4885,Paperback,224 pages,104,1104,3.62
4886,Hardcover,309 pages,139,841,3.75
4887,Paperback,202 pages,289,4432,4.01
4888,Mass Market Paperback,373 pages,50,555,3.73
4889,Paperback,344 pages,127,1408,3.9
4890,Paperback,224 pages,91,1039,4.11
4891,Kindle Edition,146 pages,195,601,4.03
4892,Paperback,224 pages,75,3375,4.19
4893,Paperback,272 pages,562,8175,3.77
4894,Hardcover,446 pages,437,6308,3.85
4896,Paperback,943 pages,222,10694,3.87
4897,Paperback,240 pages,92,3459,3.61
4898,Hardcover,309 pages,822,9218,3.91
4899,Paperback,398 pages,10057,106330,3.77
4900,Kindle Edition,482 pages,87,1557,4.48
4901,Paperback,432 pages,48,682,3.94
4903,Paperback,153 pages,268,5919,4.22
4904,Hardcover,531 pages,2,52,4.02
4905,Kindle Edition,302 pages,67,541,3.97
4906,Hardcover,256 pages,99,1149,3.82
4907,Kindle Edition,368 pages,40,97,3.09
4908,Hardcover,416 pages,803,6349,3.53
4909,Paperback,168 pages,11259,508959,3.99
4911,Paperback,32 pages,23,100,4.36
4912,Paperback,418 pages,26194,262797,4.03
4913,Paperback,277 pages,13,77,3.94
4914,Mass Market Paperback,388 pages,935,16164,4.1
4915,Hardcover,458 pages,697,7001,3.75
4916,Kindle Edition,242 pages,150,1847,3.89
4917,ebook,258 pages,377,5092,3.78
4918,Paperback,208 pages,242,2585,4.0
4920,Paperback,99 pages,76,814,4.03
4921,Paperback,496 pages,60,589,4.24
4922,Hardcover,320 pages,62,729,4.25
4923,Hardcover,358 pages,1101,41142,4.29
4924,Paperback,208 pages,1,17,3.76
4925,Hardcover,317 pages,345,3513,4.0
4926,Paperback,400 pages,25374,277384,4.59
4927,Paperback,338 pages,679,4340,3.73
4929,Paperback,304 pages,16,357,3.85
4930,Nook,256 pages,310,2982,3.46
4931,ebook,91 pages,0,29,4.72
4932,Paperback,128 pages,94,857,3.93
4933,Paperback,96 pages,90,594,3.64
4934,Paperback,560 pages,63,971,4.26
4935,Paperback,48 pages,15,484,4.27
4936,Paperback,221 pages,18259,1145351,4.07
4937,Unknown Binding,416 pages,170,2810,3.9
4938,Paperback,272 pages,67,1833,4.15
4939,Hardcover,227 pages,1572,94436,4.08
4940,Kindle Edition,391 pages,69,395,4.3
4941,Paperback,416 pages,5069,88192,4.15
4942,Kindle Edition,478 pages,10,85,4.4
4943,Paperback,87 pages,119,7241,4.0
4944,Hardcover,541 pages,0,13,3.31
4945,Paperback,262 pages,4890,36802,3.94
4946,Paperback,480 pages,103,693,3.99
4947,Paperback,224 pages,23,447,4.17
4948,Paperback,160 pages,135,2337,3.81
4949,Paperback,414 pages,193,2366,4.11
4950,Paperback,288 pages,1597,21897,3.85
4951,ebook,266 pages,9,24,4.17
4954,Paperback,451 pages,243,1934,3.67
4955,Paperback,294 pages,225,1405,3.8
4956,Paperback,352 pages,251,2553,3.77
4957,Paperback,390 pages,162,2423,3.86
4958,Paperback,416 pages,151,1605,4.52
4959,Paperback,511 pages,120,2451,3.72
4960,Mass Market Paperback,294 pages,20,228,3.6
4961,Paperback,286 pages,88,3348,4.34
4962,Paperback,486 pages,362,6769,3.95
4963,Paperback,110 pages,3,23,3.13
4964,Kindle Edition,328 pages,29,222,4.14
4965,Hardcover,352 pages,82,656,3.51
4966,Paperback,192 pages,104,3053,3.64
4968,Paperback,192 pages,29,479,4.39
4969,Hardcover,320 pages,3177,25896,3.56
4970,Paperback,412 pages,106,344,4.02
4971,Hardcover,336 pages,541,2945,4.03
4973,Paperback,205 pages,5,34,4.62
4974,Nook,1054 pages,65,748,3.46
4975,Paperback,894 pages,368,4299,4.22
4976,ebook,332 pages,334,3305,4.37
4977,Paperback,500 pages,39,241,4.02
4978,Paperback,192 pages,1,41,4.2
4979,Hardcover,400 pages,448,4122,4.09
4980,Paperback,248 pages,7,48,3.94
4981,Hardcover,602 pages,798,11148,4.04
4982,Paperback,146 pages,2,13,4.15
4983,Paperback,608 pages,31,738,3.85
4984,Audio CD,7 pages,8111,118380,3.92
4985,Hardcover,360 pages,409,6275,3.69
4986,Paperback,185 pages,35,172,3.8
4987,Paperback,287 pages,12,50,3.42
4988,Mass Market Paperback,189 pages,1211,28414,3.92
4989,Kindle Edition,292 pages,3,24,4.21
4992,Paperback,169 pages,373,5134,4.02
4994,Paperback,300 pages,38,635,4.47
4995,Hardcover,336 pages,737,6065,3.26
4996,Hardcover,368 pages,178,1436,3.91
4997,Kindle Edition,478 pages,624,4373,3.73
4998,ebook,292 pages,380,5512,3.75
4999,Paperback,249 pages,4677,71262,3.98
5000,Paperback,331 pages,208,4241,3.97
5001,Paperback,286 pages,1,17,4.29
5002,Paperback,208 pages,1046,16968,3.58
5003,Hardcover,389 pages,1425,12055,3.65
5004,Hardcover,352 pages,426,2883,3.92
5005,Paperback,240 pages,78,1761,3.98
5006,Paperback,194 pages,238,14977,4.39
5007,Paperback,976 pages,168,5053,4.53
5008,Kindle Edition,285 pages,8,26,4.27
5010,Paperback,192 pages,20,240,4.24
5011,Paperback,223 pages,151,1271,3.64
5012,Paperback,240 pages,649,6175,3.84
5014,Hardcover,368 pages,54371,2455518,4.25
5015,Hardcover,204 pages,120,3299,3.49
5016,Paperback,544 pages,32,1005,4.34
5017,Hardcover,224 pages,4,77,4.14
5018,Paperback,304 pages,349,5072,3.88
5019,Paperback,467 pages,3313,37774,3.77
5020,Hardcover,288 pages,719,10558,4.06
5021,Hardcover,208 pages,383,3957,4.06
5023,Paperback,486 pages,8604,187075,4.31
5024,Hardcover,192 pages,4012,43786,4.15
5025,Hardcover,336 pages,509,9667,4.58
5026,Hardcover,368 pages,143,1162,3.54
5027,Kindle Edition,202 pages,264,6700,3.98
5028,Hardcover,208 pages,112,430,3.7
5029,Paperback,537 pages,46,1452,3.91
5030,Paperback,552 pages,1420,19569,3.95
5032,Kindle Edition,268 pages,188,1828,3.99
5033,Paperback,325 pages,69,1035,4.15
5034,ebook,186 pages,43,315,3.69
5035,Mass Market Paperback,191 pages,14,179,3.92
5036,Paperback,324 pages,6,11,4.18
5037,Hardcover,352 pages,160768,5522714,4.33
5038,Paperback,464 pages,93,852,3.69
5039,Paperback,192 pages,3,46,3.37
5040,Paperback,163 pages,49,1535,3.96
5041,Paperback,240 pages,409,8525,4.2
5042,Paperback,320 pages,19,102,3.74
5043,Paperback,96 pages,131,2842,3.63
5044,Hardcover,243 pages,238,4647,3.89
5045,Hardcover,160 pages,450,7794,3.91
5046,Paperback,368 pages,4,31,3.68
5047,ebook,91 pages,4,8,4.13
5048,Hardcover,277 pages,1337,11768,3.62
5049,Paperback,144 pages,44,937,4.11
5050,Paperback,314 pages,7604,77988,4.2
5051,Paperback,344 pages,905,4322,4.01
5054,Paperback,99 pages,19562,662245,3.75
5055,Paperback,112 pages,197,1708,4.16
5056,Paperback,272 pages,41,314,3.67
5057,Kindle Edition,115 pages,4,8,4.13
5058,Mass Market Paperback,299 pages,53,2987,3.85
5059,Kindle Edition,762 pages,797,6827,3.79
5060,Hardcover,381 pages,842,21625,4.1
5062,Paperback,192 pages,36,268,4.1
5063,Paperback,309 pages,310,13829,4.07
5064,Mass Market Paperback,460 pages,932,7132,3.75
5065,Paperback,417 pages,16,66,4.02
5066,Paperback,368 pages,39,807,4.31
5068,Hardcover,448 pages,39,156,3.37
5069,Paperback,200 pages,45,325,3.59
5070,Paperback,80 pages,3,37,3.3
5071,Paperback,704 pages,5343,48145,3.74
5072,Paperback,336 pages,2,13,4.08
5073,Paperback,454 pages,160750,5521568,4.33
5074,Board Book,24 pages,125,1085,3.96
5075,ebook,406 pages,1525,19814,4.19
5076,Paperback,496 pages,24555,698314,4.33
5077,Paperback,355 pages,286,12890,4.18
5078,Hardcover,417 pages,1131,6960,4.34
5079,Paperback,784 pages,146,3054,3.73
5080,Kindle Edition,540 pages,48,181,3.89
5081,Paperback,586 pages,21,50,4.28
5082,Hardcover,304 pages,312,2106,3.84
5083,Paperback,330 pages,54,217,3.82
5084,Paperback,592 pages,721,8921,2.78
5085,Paperback,352 pages,107,1185,3.81
5086,Hardcover,120 pages,3537,16984,3.85
5087,Paperback,432 pages,365,3869,4.09
5088,Hardcover,336 pages,54,437,3.89
5089,Paperback,326 pages,53818,2422824,4.16
5090,Paperback,120 pages,246,4440,4.19
5091,Paperback,402 pages,139,1370,3.91
5092,Kindle Edition,32 pages,900,30973,3.96
5093,Paperback,366 pages,37,531,4.37
5096,Paperback,112 pages,2,83,4.47
5097,Paperback,272 pages,10412,278899,4.08
5098,Paperback,345 pages,7119,38896,3.74
5100,Paperback,153 pages,38,1057,3.67
5101,Hardcover,954 pages,8,144,4.24
5102,Paperback,48 pages,4,18,3.89
5103,Paperback,240 pages,24,329,4.21
5104,Paperback,570 pages,15,151,3.69
5105,Hardcover,320 pages,54,858,3.96
5106,Paperback,302 pages,475,19699,4.03
5107,Mass Market Paperback,372 pages,428,12598,4.22
5108,Kindle Edition,330 pages,93,3897,4.46
5109,Paperback,124 pages,30,660,3.77
5110,Paperback,202 pages,0,11,4.27
5111,Paperback,288 pages,53,895,3.86
5112,Hardcover,870 pages,10,358,4.39
5115,Hardcover,393 pages,1432,17191,3.96
5116,Hardcover,224 pages,5080,153906,3.91
5117,Hardcover,304 pages,267,2451,3.9
5119,Paperback,152 pages,61,738,3.98
5120,Paperback,304 pages,19,515,3.69
5121,ebook,979 pages,4540,115820,4.43
5122,Hardcover,361 pages,126,1359,3.94
5123,Paperback,352 pages,96,8400,3.88
5124,Paperback,432 pages,170,1804,3.57
5125,Paperback,799 pages,214,2540,3.47
5126,Kindle Edition,384 pages,1690,20915,3.92
5127,Paperback,176 pages,47,346,4.23
5128,Kindle Edition,117 pages,6276,201830,4.1
5129,Hardcover,456 pages,1197,16924,3.89
5130,Kindle Edition,295 pages,62,214,4.06
5131,Paperback,216 pages,1137,41525,4.09
5132,Paperback,179 pages,654,16406,3.96
5133,Mass Market Paperback,305 pages,1049,5995,3.91
5135,Hardcover,448 pages,1253,22047,4.04
5136,Paperback,384 pages,8,14,4.36
5137,Kindle Edition,238 pages,698,14143,4.34
5138,Hardcover,528 pages,2019,25245,3.69
5139,Kindle Edition,148 pages,1740,23963,3.73
5140,Paperback,179 pages,48,285,3.99
5141,Paperback,354 pages,48,474,3.15
5142,Kindle Edition,282 pages,120,1291,4.2
5144,Paperback,240 pages,381,4746,4.28
5145,Paperback,416 pages,1787,26742,4.05
5146,Paperback,498 pages,21085,157579,3.44
5147,Paperback,688 pages,322,4505,4.45
5148,Paperback,128 pages,17,96,3.88
5149,Paperback,310 pages,13095,301592,3.63
5150,Paperback,292 pages,57,2281,3.92
5151,Paperback,210 pages,48,510,3.74
5152,ebook,349 pages,47,702,3.73
5153,Paperback,254 pages,27,139,4.03
5154,Hardcover,0 pages,25,3402,4.3
5155,Kindle Edition,352 pages,5,18,3.78
5156,Mass Market Paperback,379 pages,44,553,3.53
5159,Paperback,264 pages,659,21347,4.1
5160,Paperback,588 pages,10736,239462,4.41
5161,Paperback,443 pages,241,6378,4.01
5162,Hardcover,532 pages,8744,160839,3.9
5164,Paperback,496 pages,1017,10847,4.1
5166,Paperback,700 pages,62,1018,4.32
5167,Paperback,367 pages,4515,393810,4.17
5168,Paperback,250 pages,15,99,3.98
5169,Paperback,830 pages,8,36,4.11
5170,Paperback,240 pages,96,1443,3.94
5171,Paperback,376 pages,102,1450,4.14
5172,ebook,207 pages,847,16356,4.09
5173,Paperback,246 pages,4,59,3.73
5174,Paperback,294 pages,5,49,3.27
5175,Mass Market Paperback,184 pages,3,37,3.62
5176,Paperback,192 pages,8,16,3.5
5177,Hardcover,288 pages,1257,4548,3.95
5178,Hardcover,352 pages,152,33684,3.93
5179,Paperback,1376 pages,68,12965,4.0
5180,Hardcover,224 pages,37,202,3.69
5181,Hardcover,257 pages,31,918,3.84
5182,Paperback,122 pages,112,3102,3.77
5183,Paperback,360 pages,20,226,3.62
5184,Hardcover,400 pages,78,5513,4.34
5185,Kindle Edition,160 pages,7,20,3.75
5186,Paperback,171 pages,8043,256131,4.15
5187,Paperback,126 pages,19,901,3.93
5188,Paperback,384 pages,261,2568,4.4
5190,Kindle Edition,75 pages,3,81,4.26
5191,Paperback,672 pages,39,1699,4.24
5192,Paperback,322 pages,16708,134601,4.28
5193,Hardcover,278 pages,26683,191061,3.31
5195,Paperback,188 pages,133,4099,3.86
5196,Leather Bound,200 pages,8661,222926,4.09
5197,Paperback,164 pages,19,157,4.38
5198,Kindle Edition,292 pages,46,494,3.7
5200,Paperback,272 pages,285,6879,3.79
5202,Paperback,1040 pages,99,1993,4.01
5203,Paperback,226 pages,51,867,3.98
5204,Paperback,264 pages,151,823,3.88
5205,Paperback,345 pages,122,3949,3.84
5206,Paperback,250 pages,55,198,3.45
5207,Paperback,310 pages,1324,19258,4.13
5208,Kindle Edition,170 pages,40,609,3.83
5210,Paperback,336 pages,95,391,3.95
5211,Perfect Paperback,314 pages,183,1646,3.93
5212,Hardcover,304 pages,316,2140,3.72
5213,Hardcover,628 pages,4,49,4.8
5214,Hardcover,215 pages,1096,9752,4.06
5215,Kindle Edition,295 pages,41,145,3.83
5216,Paperback,292 pages,2523,22508,4.38
5217,Hardcover,193 pages,3310,25450,3.92
5218,Hardcover,57 pages,265,8614,4.04
5220,Paperback,255 pages,829,15232,3.84
5221,Kindle Edition,254 pages,21,105,4.03
5222,Paperback,96 pages,13615,501637,4.03
5224,Hardcover,358 pages,219,2216,3.99
5225,Hardcover,225 pages,1556,29772,3.93
5226,Paperback,256 pages,180,2151,4.09
5227,Paperback,352 pages,56,2234,3.85
5228,Hardcover,320 pages,872,4845,3.76
5229,Paperback,352 pages,118,1901,4.4
5230,Hardcover,464 pages,361,2130,3.66
5231,Hardcover,379 pages,4414,48344,3.98
5232,Paperback,304 pages,42,1010,3.87
5233,Paperback,327 pages,1132,32508,4.27
5234,Paperback,157 pages,312,5545,3.73
5235,Paperback,173 pages,2,13,4.08
5236,Mass Market Paperback,284 pages,177,4713,4.17
5237,Paperback,284 pages,542,3017,3.58
5238,Hardcover,352 pages,2841,40746,3.69
5239,Paperback,144 pages,314,3118,4.2
5240,Hardcover,554 pages,55,913,4.06
5241,Paperback,414 pages,373,4217,4.26
5242,Kindle Edition,390 pages,617,4002,4.09
5243,Hardcover,416 pages,164,1880,4.02
5244,Paperback,256 pages,356,2918,4.22
5245,Kindle Edition,163 pages,32,241,3.55
5246,Paperback,196 pages,22,280,3.73
5247,Hardcover,224 pages,1237,9974,3.54
5248,Hardcover,288 pages,31,105,3.46
5250,Paperback,640 pages,448,4868,3.96
5251,Audio CD,3 pages,1,48,4.42
5252,Paperback,544 pages,35,518,4.09
5253,Paperback,307 pages,915,8367,3.73
5254,Hardcover,192 pages,235,1549,4.14
5255,Paperback,228 pages,277,1979,4.23
5256,Paperback,222 pages,71,1720,3.96
5257,Paperback,162 pages,96,663,3.55
5258,Kindle Edition,275 pages,371,5915,4.25
5260,Hardcover,346 pages,9100,59851,4.08
5261,Paperback,396 pages,9,91,4.07
5262,Paperback,218 pages,103,2076,4.04
5263,Mass Market Paperback,240 pages,184,2578,3.75
5264,Hardcover,320 pages,5958,43099,4.22
5265,Paperback,161 pages,3620,230831,4.34
5266,Paperback,304 pages,537,8976,3.95
5267,Paperback,303 pages,2248,18976,4.36
5268,Hardcover,229 pages,359,1675,3.58
5271,Paperback,312 pages,26,255,4.12
5273,Paperback,495 pages,175,2059,4.1
5274,Kindle Edition,256 pages,0,6,3.83
5275,Kindle Edition,313 pages,4,13,3.85
5276,Paperback,464 pages,555,3162,4.19
5277,Kindle Edition,578 pages,133,10323,4.47
5278,Mass Market Paperback,384 pages,91,823,3.52
5279,Hardcover,477 pages,1494,16156,4.48
5280,Paperback,351 pages,975,26109,3.9
5282,Hardcover,208 pages,4436,32657,3.7
5283,Hardcover,355 pages,11322,78214,3.51
5286,Hardcover,513 pages,4521,34787,3.93
5287,Paperback,256 pages,514,10555,3.88
5288,Paperback,292 pages,451,14418,4.25
5289,Paperback,67 pages,56,1524,3.94
5290,Kindle Edition,339 pages,1,7,3.86
5291,Paperback,346 pages,219,2041,3.69
5292,Paperback,291 pages,151,1119,3.48
5293,Paperback,293 pages,382,2448,4.16
5294,Paperback,128 pages,23,566,4.18
5295,Hardcover,184 pages,1618,15322,3.72
5296,Hardcover,144 pages,463,3570,3.87
5297,Paperback,744 pages,196,7439,4.31
5299,Paperback,360 pages,36,49,4.18
5300,Paperback,504 pages,13,77,4.14
5301,ebook,181 pages,182,2693,4.23
5302,Paperback,565 pages,609,6664,3.98
5303,Hardcover,243 pages,1498,7786,3.68
5304,Mass Market Paperback,287 pages,81,1549,4.21
5305,Paperback,224 pages,126,1905,3.95
5307,Paperback,355 pages,173,3301,3.99
5309,Hardcover,448 pages,30,154,3.48
5310,Paperback,320 pages,14,202,3.93
5312,Hardcover,752 pages,169,2748,4.53
5313,Paperback,178 pages,529,5166,3.85
5314,Paperback,664 pages,11,171,3.88
5315,Paperback,56 pages,8,377,3.29
5316,Paperback,272 pages,138,2236,3.99
5317,Hardcover,385 pages,323,4051,4.2
5318,Paperback,400 pages,617,5223,4.3
5319,Hardcover,444 pages,272,1533,3.98
5321,Paperback,278 pages,4,49,4.0
5322,Hardcover,695 pages,1085,29846,4.13
5323,Hardcover,390 pages,1264,29887,4.24
5325,Paperback,432 pages,105,2490,3.89
5329,Hardcover,208 pages,126,630,3.99
5330,Paperback,368 pages,7,82,3.65
5331,Mass Market Paperback,352 pages,174,1071,3.87
5332,Paperback,232 pages,30,114,4.12
5333,Paperback,228 pages,250,2163,3.82
5334,Paperback,768 pages,37,1799,4.18
5335,Hardcover,193 pages,255,4131,4.29
5336,Paperback,304 pages,20,100,3.64
5337,Paperback,400 pages,40,171,3.44
